FeederID,Feeder_Name,SubID,Substation,Nominal_Voltage,Load_Profile,CZ,COUNTYFP10,NAME10,mhid,Month,Hour,ResCust,ComCust,IndCust,AgrCust,OthCust,TotCust,MonthHour,l_kW,h_kW,ldinc_RE2_2030_kW,ldinc_RE2_2040_kW,ldinc_RE2_2050_kW,ldinc_RE3_2030_kW,ldinc_RE3_2040_kW,ldinc_RE3_2050_kW,ldinc_RE4_2030_kW,ldinc_RE4_2040_kW,ldinc_RE4_2050_kW,ldinc_EV0_2030_kW,ldinc_EV0_2040_kW,ldinc_EV0_2050_kW,ldinc_EV1_2030_kW,ldinc_EV1_2040_kW,ldinc_EV1_2050_kW,ldinc_EV3_2030_kW,ldinc_EV3_2040_kW,ldinc_EV3_2050_kW,ldinc_EV4_2030_kW,ldinc_EV4_2040_kW,ldinc_EV4_2050_kW,ldinc_lo_2030_kW,ldinc_lo_2040_kW,ldinc_lo_2050_kW,ldinc_hi_2030_kW,ldinc_hi_2040_kW,ldinc_hi_2050_kW,ldinc_dr_2030_kW,ldinc_dr_2040_kW,ldinc_dr_2050_kW,B_md,B_mn,B_mx,B_p1,B_p9,B_q1,B_q3,T_md,T_mn,T_mx,T_p1,T_p9,T_q1,T_q3,V_md,V_mn,V_mx,V_p1,V_p9,V_q1,V_q3
42141101,CLEAR LAKE 1101,4214.0,CLEAR LAKE,12kV,Available,2.0,33.0,Lake,1,1.0,0.0,1785.0,318.0,41.0,280.0,1.0,2425.0,01_00,2369.0,2806.0,,,,,,,,,,479.789597118226,959.57919423645,1919.1583884729,773.830670147515,1547.66134029503,3095.32268059006,595.335774091642,1190.67154818329,2381.34309636657,1056.51349339038,2113.02698678076,4226.05397356152,595.335774091642,1190.67154818329,2381.34309636657,1056.51349339038,2113.02698678076,4226.05397356152,479.789597118226,959.57919423645,1919.1583884729,0.0,0.0,80.0,0.0,0.0,0.0,0.0,670.0,50.0,6550.0,150.0,3710.0,280.0,1720.0,0.0,0.0,80.0,0.0,0.0,0.0,0.0
42141102,CLEAR LAKE 1102,4214.0,CLEAR LAKE,12kV,Available,2.0,33.0,Lake,1,1.0,0.0,1212.0,460.0,106.0,50.0,4.0,1832.0,01_00,2770.0,3285.0,,,,,,,,,,342.684897848471,685.369795696941,1370.73959139388,542.336315501971,1084.67263100394,2169.34526200789,424.015491957233,848.030983914467,1696.06196782893,731.53851019568,1463.07702039136,2926.15404078272,424.015491957233,848.030983914467,1696.06196782893,731.53851019568,1463.07702039136,2926.15404078272,342.684897848471,685.369795696941,1370.73959139388,720.0,70.0,7180.0,180.0,3350.0,300.0,1700.0,1380.0,70.0,7180.0,180.0,5950.0,300.0,4120.0,1770.0,360.0,10000.0,790.0,5490.0,1320.0,2890.0
43211101,HARTLEY 1101,4321.0,HARTLEY,12kV,Available,2.0,33.0,Lake,1,1.0,0.0,2516.0,399.0,55.0,53.0,4.0,3027.0,01_00,2883.0,3893.0,,,,,,,,,,672.863925232284,1345.72785046457,2691.45570092913,1087.321818645,2174.64363728999,4349.28727457999,835.149011339678,1670.29802267936,3340.59604535871,1486.32202688691,2972.64405377383,5945.28810754766,835.149011339678,1670.29802267936,3340.59604535871,1486.32202688691,2972.64405377383,5945.28810754766,672.863925232284,1345.72785046457,2691.45570092913,450.0,90.0,5380.0,180.0,750.0,290.0,400.0,1400.0,90.0,5380.0,170.0,3740.0,310.0,2190.0,400.0,190.0,10000.0,400.0,730.0,170.0,300.0
43211102,HARTLEY 1102,4321.0,HARTLEY,12kV,Redacted,2.0,33.0,Lake,1,1.0,0.0,1364.0,102.0,13.0,11.0,5.0,1495.0,,,,,,,,,,,,,356.859685463357,713.719370926712,1427.43874185342,581.549894769772,1163.09978953954,2326.19957907909,443.492580202566,886.985160405132,1773.97032081026,799.141870858005,1598.28374171601,3196.56748343202,443.492580202566,886.985160405132,1773.97032081026,799.141870858005,1598.28374171601,3196.56748343202,356.859685463357,713.719370926712,1427.43874185342,1340.0,130.0,4020.0,240.0,2650.0,550.0,2690.0,1430.0,130.0,4020.0,240.0,2650.0,550.0,2710.0,1830.0,640.0,10000.0,920.0,8880.0,1280.0,3680.0
43361102,HIGHLANDS 1102,4336.0,HIGHLANDS,12kV,Available,2.0,33.0,Lake,1,1.0,0.0,3188.0,343.0,59.0,6.0,11.0,3607.0,01_00,5099.0,6319.0,,,,,,,,,,841.315521979547,1682.63104395909,3365.26208791818,1366.47123112093,2732.94246224187,5465.88492448373,1045.03007422245,2090.06014844491,4180.12029688981,1873.86366703503,3747.72733407006,7495.45466814011,1045.03007422245,2090.06014844491,4180.12029688981,1873.86366703503,3747.72733407006,7495.45466814011,841.315521979547,1682.63104395909,3365.26208791818,580.0,50.0,4490.0,180.0,1170.0,300.0,490.0,1720.0,50.0,4490.0,180.0,3940.0,300.0,3740.0,490.0,170.0,10000.0,270.0,770.0,610.0,1150.0
43361103,HIGHLANDS 1103,4336.0,HIGHLANDS,12kV,Available,2.0,33.0,Lake,1,1.0,0.0,2244.0,255.0,42.0,40.0,5.0,2586.0,01_00,2926.0,3697.0,,,,,,,,,,593.133182757802,1186.2663655156,2372.5327310312,962.784817423194,1925.56963484639,3851.13926969278,736.68556504825,1473.3711300965,2946.742260193,1319.78094435604,2639.56188871209,5279.12377742417,736.68556504825,1473.3711300965,2946.742260193,1319.78094435604,2639.56188871209,5279.12377742417,593.133182757802,1186.2663655156,2372.5327310312,490.0,20.0,6150.0,120.0,1800.0,190.0,980.0,1320.0,20.0,6150.0,150.0,4570.0,350.0,1800.0,600.0,140.0,10000.0,140.0,2510.0,190.0,1910.0
43361104,HIGHLANDS 1104,4336.0,HIGHLANDS,12kV,Available,2.0,33.0,Lake,1,1.0,0.0,2668.0,187.0,46.0,0.0,7.0,2908.0,01_00,3782.0,4845.0,,,,,,,,,,697.154719951002,1394.309439902,2788.618879804,1136.65140501663,2273.30281003326,4546.60562006652,866.462250239866,1732.92450047973,3465.84900095947,1562.40418286805,3124.80836573611,6249.61673147221,866.462250239866,1732.92450047973,3465.84900095947,1562.40418286805,3124.80836573611,6249.61673147221,697.154719951002,1394.309439902,2788.618879804,1350.0,0.0,6660.0,330.0,5510.0,650.0,2610.0,1590.0,0.0,6660.0,330.0,6210.0,650.0,3360.0,2800.0,0.0,10000.0,1480.0,7550.0,1990.0,3910.0
43311102,KONOCTI 1102,4331.0,KONOCTI,12kV,Available,2.0,33.0,Lake,1,1.0,0.0,2521.0,264.0,35.0,78.0,5.0,2903.0,01_00,2627.0,3364.0,,,,,,,,,,664.792313025368,1329.58462605073,2659.16925210147,1080.07385090035,2160.14770180069,4320.29540360139,825.800019480163,1651.60003896033,3303.20007792065,1481.38973673561,2962.77947347121,5925.55894694242,825.800019480163,1651.60003896033,3303.20007792065,1481.38973673561,2962.77947347121,5925.55894694242,664.792313025368,1329.58462605073,2659.16925210147,370.0,50.0,6600.0,150.0,1700.0,230.0,640.0,820.0,50.0,6600.0,160.0,2360.0,270.0,1980.0,510.0,130.0,10000.0,240.0,2350.0,330.0,860.0
43311108,KONOCTI 1108,4331.0,KONOCTI,12kV,Available,2.0,33.0,Lake,1,1.0,0.0,1915.0,100.0,10.0,3.0,0.0,2028.0,01_00,1557.0,2203.0,,,,,,,,,,498.022853613823,996.045707227644,1992.09141445529,813.478682662052,1626.9573653241,3253.91473064821,619.142862153741,1238.28572430748,2476.57144861497,1119.45336171339,2238.90672342679,4477.81344685357,619.142862153741,1238.28572430748,2476.57144861497,1119.45336171339,2238.90672342679,4477.81344685357,498.022853613823,996.045707227644,1992.09141445529,870.0,90.0,7050.0,370.0,2890.0,600.0,1740.0,1780.0,90.0,7050.0,370.0,3940.0,600.0,3670.0,1680.0,820.0,10000.0,970.0,3030.0,1240.0,2380.0
43351103,LUCERNE 1103,4335.0,LUCERNE,12kV,Available,2.0,33.0,Lake,1,1.0,0.0,2002.0,186.0,27.0,28.0,8.0,2251.0,01_00,2964.0,3684.0,,,,,,,,,,526.292399143812,1052.58479828762,2105.16959657524,856.079641835485,1712.15928367097,3424.31856734194,653.874697254166,1307.74939450833,2615.49878901667,1175.04155829505,2350.0831165901,4700.16623318019,653.874697254166,1307.74939450833,2615.49878901667,1175.04155829505,2350.0831165901,4700.16623318019,526.292399143812,1052.58479828762,2105.16959657524,50.0,20.0,6010.0,20.0,160.0,30.0,50.0,1480.0,70.0,6010.0,250.0,4750.0,590.0,2650.0,50.0,20.0,10000.0,190.0,340.0,370.0,150.0
