FeederID,Feeder_Name,SubID,Substation,Nominal_Voltage,Load_Profile,CZ,COUNTYFP10,NAME10,mhid,Month,Hour,ResCust,ComCust,IndCust,AgrCust,OthCust,TotCust,MonthHour,l_kW,h_kW,ldinc_RE2_2030_kW,ldinc_RE2_2040_kW,ldinc_RE2_2050_kW,ldinc_RE3_2030_kW,ldinc_RE3_2040_kW,ldinc_RE3_2050_kW,ldinc_RE4_2030_kW,ldinc_RE4_2040_kW,ldinc_RE4_2050_kW,ldinc_EV0_2030_kW,ldinc_EV0_2040_kW,ldinc_EV0_2050_kW,ldinc_EV1_2030_kW,ldinc_EV1_2040_kW,ldinc_EV1_2050_kW,ldinc_EV3_2030_kW,ldinc_EV3_2040_kW,ldinc_EV3_2050_kW,ldinc_EV4_2030_kW,ldinc_EV4_2040_kW,ldinc_EV4_2050_kW,ldinc_lo_2030_kW,ldinc_lo_2040_kW,ldinc_lo_2050_kW,ldinc_hi_2030_kW,ldinc_hi_2040_kW,ldinc_hi_2050_kW,ldinc_dr_2030_kW,ldinc_dr_2040_kW,ldinc_dr_2050_kW,B_md,B_mn,B_mx,B_p1,B_p9,B_q1,B_q3,T_md,T_mn,T_mx,T_p1,T_p9,T_q1,T_q3,V_md,V_mn,V_mx,V_p1,V_p9,V_q1,V_q3
182011103,SALINAS 1103,18201.0,SALINAS,12kV,Available,3.0,53.0,Monterey,278,12.0,13.0,5633.0,371.0,154.0,0.0,23.0,6181.0,12_13,4906.0,6146.0,98.9610853650012,348.839039991308,472.139455608543,213.317407026795,567.762753865381,893.350833537024,290.981913914305,953.554074516328,1170.97091470987,1396.04315348459,2792.08630696919,5584.17261393837,1396.04315348459,2792.08630696919,5584.17261393837,1506.72669896983,3013.45339793966,6026.90679587931,1203.9887723088,2407.9775446176,4815.9550892352,1720.04410599662,3581.21615180504,6920.25762941634,1494.97068622311,3361.53161913393,5986.92600394508,1687.0250673989,3745.64038148551,6755.14352864824,1310.0,80.0,6620.0,380.0,3620.0,740.0,2260.0,1650.0,80.0,6620.0,380.0,3620.0,780.0,2280.0,2410.0,610.0,10000.0,1100.0,9170.0,1680.0,4680.0
182011104,SALINAS 1104,18201.0,SALINAS,12kV,Available,3.0,53.0,Monterey,278,12.0,13.0,4655.0,455.0,93.0,48.0,22.0,5273.0,12_13,3160.0,5160.0,102.748903851207,362.191146625099,490.210988993863,221.482309571925,589.494349137787,927.544585449282,302.119490554767,990.052155936188,1215.79080791524,1440.87808609672,2881.75617219344,5763.51234438688,1440.87808609672,2881.75617219344,5763.51234438689,1641.003815608,3282.007631216,6564.01526243201,1108.61421718785,2217.22843437569,4434.45686875138,1862.48612517993,3871.50198035379,7491.55984788129,1410.73370774261,3207.28059031188,5650.24767666663,1742.99757665149,3871.80832812963,6979.30315230213,920.0,60.0,7650.0,290.0,2800.0,460.0,1090.0,1000.0,60.0,7650.0,350.0,5520.0,670.0,2190.0,1660.0,180.0,10000.0,510.0,4740.0,950.0,2910.0
182011105,SALINAS 1105,18201.0,SALINAS,12kV,Available,3.0,53.0,Monterey,278,12.0,13.0,5452.0,174.0,66.0,2.0,9.0,5703.0,12_13,3306.0,5373.0,109.451745729293,385.818746477517,522.189984612973,235.930744973278,627.950111313293,988.053111166938,321.828305905334,1054.63837343889,1295.10312402606,993.011910664992,1986.02382132998,3972.04764265996,993.01191066499,1986.02382132998,3972.04764265996,964.635232520879,1929.27046504176,3858.54093008352,1023.55982569515,2047.1196513903,4094.2393027806,1200.56597749416,2557.22057635505,4846.59404125046,1345.38813160048,3101.75802482919,5389.34242680666,1314.84021657033,3040.66219476887,5267.15076668602,910.0,0.0,5850.0,400.0,2310.0,580.0,1690.0,910.0,0.0,5850.0,400.0,4040.0,580.0,2930.0,1660.0,860.0,10000.0,1160.0,3220.0,1390.0,2070.0
182011106,SALINAS 1106,18201.0,SALINAS,12kV,Available,3.0,53.0,Monterey,278,12.0,13.0,3857.0,518.0,153.0,17.0,27.0,4572.0,12_13,5314.0,6484.0,71.586747146091,252.344161934329,341.537561978834,154.310143450464,410.709811336645,646.234628463179,210.491312000463,689.784617567127,847.060220465292,1466.74016277542,2933.48032555085,5866.96065110169,1466.74016277542,2933.48032555085,5866.96065110169,1735.79035909203,3471.58071818406,6943.16143636813,1026.55056010822,2053.10112021644,4106.20224043288,1890.1005025425,3882.29052952071,7589.39606483131,1237.04187210868,2742.88573778357,4953.26246089817,1677.23147477589,3623.26494311797,6714.02087156698,770.0,50.0,5960.0,230.0,3730.0,400.0,2280.0,770.0,50.0,5960.0,230.0,3730.0,400.0,3200.0,2600.0,650.0,10000.0,1520.0,7660.0,1930.0,4460.0
182011107,SALINAS 1107,18201.0,SALINAS,12kV,Redacted,3.0,53.0,Monterey,278,12.0,13.0,951.0,412.0,128.0,6.0,15.0,1512.0,12_13,,,25.0382943766142,88.2602948537067,119.456720111135,53.9717608501681,143.65051590659,226.028050007669,73.6217755897172,241.260163363199,296.269128019568,911.79720562288,1823.59441124576,3647.18882249152,911.797205622879,1823.59441124576,3647.18882249152,1186.26785972969,2372.53571945939,4745.07143891878,470.825850087886,941.651700175773,1883.30340035155,1240.23962057986,2516.18623536598,4971.09948892645,544.447625677604,1182.91186353897,2179.57252837111,985.418981212597,2064.85457460896,3943.45795051109,830.0,120.0,6300.0,340.0,3730.0,760.0,2210.0,830.0,120.0,6300.0,350.0,5230.0,760.0,2500.0,3000.0,560.0,10000.0,1140.0,4160.0,1800.0,3660.0
182011108,SALINAS 1108,18201.0,SALINAS,12kV,Redacted,3.0,53.0,Monterey,278,12.0,13.0,176.0,104.0,31.0,4.0,8.0,323.0,12_13,,,6.43698880990229,22.6904645255158,30.710621061361,13.8753708786067,36.9305013160586,58.1085918528985,18.9271097506854,62.0245512128257,76.1665724148801,222.451453559799,444.902907119598,889.805814239197,222.451453559799,444.902907119598,889.805814239197,293.565515615312,587.131031230625,1174.26206246125,108.388639602929,216.777279205858,433.554558411716,307.440886493919,624.061532546683,1232.37065431415,127.315749353614,278.801830418684,509.721130826596,241.378563310485,506.927458332424,965.972386654077,1070.0,80.0,9230.0,130.0,9020.0,260.0,3750.0,1070.0,80.0,9230.0,130.0,9020.0,260.0,7020.0,5210.0,2490.0,10000.0,2960.0,10000.0,3370.0,10000.0
182011109,SALINAS 1109,18201.0,SALINAS,12kV,Available,3.0,53.0,Monterey,278,12.0,13.0,3552.0,255.0,66.0,34.0,20.0,3927.0,12_13,2684.0,3868.0,61.7232346206466,217.575159274066,294.479130707846,133.048665685304,354.12054684367,557.193798891549,181.488964845663,594.743293768078,730.348825864352,921.056279084775,1842.11255816955,3684.2251163391,921.056279084774,1842.11255816955,3684.2251163391,1006.26781686976,2012.53563373951,4025.07126747903,775.326689980038,1550.65337996008,3101.30675992015,1139.31648255506,2366.65618058318,4582.26506637058,956.815654825701,2145.39667372815,3831.6555857845,1102.54524393044,2436.85585193763,4414.57394220345,1030.0,60.0,7700.0,330.0,5190.0,730.0,1940.0,1110.0,60.0,7700.0,330.0,5190.0,670.0,3810.0,2440.0,380.0,10000.0,1070.0,10000.0,1330.0,5980.0
182191101,SAN ARDO 1101,18219.0,SAN ARDO,12kV,Redacted,4.0,53.0,Monterey,278,12.0,13.0,46.0,33.0,5.0,71.0,1.0,156.0,12_13,,,0.314498162935219,1.10860988268982,1.50045839625194,0.67792236094207,1.80434907736828,2.83906744724734,0.924740033275621,3.03039324587721,3.72134359853202,69.4003364899983,138.800672979997,277.601345959993,69.4003364899983,138.800672979997,277.601345959993,92.2466897639718,184.493379527943,368.986759055887,32.7846888607917,65.5693777215834,131.138755443167,92.9246121249138,186.297728605312,371.825826503134,33.7094288940673,68.5997709674606,134.860099041699,70.3250765232739,141.831066225874,281.322689558525,510.0,40.0,6870.0,180.0,1980.0,290.0,850.0,1410.0,40.0,6870.0,180.0,4820.0,470.0,2370.0,620.0,180.0,10000.0,260.0,2110.0,470.0,1020.0
182191102,SAN ARDO 1102,18219.0,SAN ARDO,12kV,Available,4.0,53.0,Monterey,278,12.0,13.0,384.0,132.0,15.0,140.0,1.0,672.0,12_13,422.0,777.0,2.49255546984793,8.78628861051622,11.8918843530014,5.37287427413825,14.3003702162666,22.5010315763313,7.32902795557279,24.0173843634099,29.4935119974458,301.676145279046,603.352290558092,1206.70458111618,301.676145279046,603.352290558092,1206.70458111618,387.34736058953,774.694721179059,1549.38944235812,163.798416649089,327.596833298177,655.193666596355,392.720234863668,788.995091395326,1571.89047393445,171.127444604661,351.614217661587,684.6871785938,309.005173234619,627.369674921502,1236.19809311363,260.0,50.0,6870.0,50.0,840.0,110.0,360.0,690.0,50.0,6870.0,160.0,3050.0,300.0,1690.0,360.0,50.0,10000.0,50.0,1600.0,120.0,490.0
182051114,SOLEDAD 1114,18205.0,SOLEDAD,12kV,Available,3.0,53.0,Monterey,278,12.0,13.0,2482.0,194.0,44.0,22.0,15.0,2757.0,12_13,1409.0,2205.0,,,,,,,,,,674.206069653795,1348.41213930759,2696.82427861518,674.206069653794,1348.41213930759,2696.82427861518,745.328027874306,1490.65605574861,2981.31211149722,553.880806352925,1107.76161270585,2215.5232254117,745.328027874306,1490.65605574861,2981.31211149722,553.880806352925,1107.76161270585,2215.5232254117,674.206069653795,1348.41213930759,2696.82427861518,,,,,,,,,,,,,,,,,,,,,
