FeederID,Feeder_Name,SubID,Substation,Nominal_Voltage,Load_Profile,CZ,COUNTYFP10,NAME10,mhid,Month,Hour,ResCust,ComCust,IndCust,AgrCust,OthCust,TotCust,MonthHour,l_kW,h_kW,ldinc_RE2_2030_kW,ldinc_RE2_2040_kW,ldinc_RE2_2050_kW,ldinc_RE3_2030_kW,ldinc_RE3_2040_kW,ldinc_RE3_2050_kW,ldinc_RE4_2030_kW,ldinc_RE4_2040_kW,ldinc_RE4_2050_kW,ldinc_EV0_2030_kW,ldinc_EV0_2040_kW,ldinc_EV0_2050_kW,ldinc_EV1_2030_kW,ldinc_EV1_2040_kW,ldinc_EV1_2050_kW,ldinc_EV3_2030_kW,ldinc_EV3_2040_kW,ldinc_EV3_2050_kW,ldinc_EV4_2030_kW,ldinc_EV4_2040_kW,ldinc_EV4_2050_kW,ldinc_lo_2030_kW,ldinc_lo_2040_kW,ldinc_lo_2050_kW,ldinc_hi_2030_kW,ldinc_hi_2040_kW,ldinc_hi_2050_kW,ldinc_dr_2030_kW,ldinc_dr_2040_kW,ldinc_dr_2050_kW,B_md,B_mn,B_mx,B_p1,B_p9,B_q1,B_q3,T_md,T_mn,T_mx,T_p1,T_p9,T_q1,T_q3,V_md,V_mn,V_mx,V_p1,V_p9,V_q1,V_q3
62462223,GRAND ISLAND 2223,6246.0,GRAND ISLAND,21kV,Available,12.0,67.0,Sacramento,1,1.0,0.0,955.0,219.0,27.0,192.0,4.0,1397.0,01_00,1180.0,1450.0,3.1058639326377,10.9482084660739,14.8179549662496,6.69490273115611,17.8190634532914,28.0375475151746,9.1323799465517,29.9270081460464,36.7505703555208,260.07993647913,520.159872958258,1040.31974591652,417.39602877211,834.792057544221,1669.58411508844,322.474483797504,644.948967595008,1289.89793519002,568.087330897142,1136.17466179428,2272.34932358857,329.16938652866,662.7680310483,1317.93548270519,577.219710843694,1166.10166994033,2309.09989394409,269.212316425681,550.086881104304,1077.07031627204,410.0,20.0,9710.0,50.0,2820.0,260.0,990.0,1310.0,50.0,9710.0,130.0,4210.0,340.0,3160.0,560.0,20.0,10000.0,40.0,3150.0,270.0,1380.0
62462224,GRAND ISLAND 2224,6246.0,GRAND ISLAND,21kV,Available,12.0,67.0,Sacramento,1,1.0,0.0,415.0,125.0,32.0,35.0,4.0,611.0,01_00,2009.0,2340.0,5.90696148066141,20.8221116874321,28.1818814687985,12.7328606170227,33.8896113039514,53.3238792092536,17.3686348600701,56.9173950257393,69.8949497436728,115.086053171187,230.172106342374,460.344212684747,183.448543539341,366.897087078682,733.794174157365,142.55139428708,285.102788574161,570.205577148321,248.597663757375,497.19532751475,994.3906550295,155.284254904103,318.992399878112,623.529456357575,265.966298617445,554.11272254049,1064.28560477317,132.454688031257,287.089501368113,530.23916242842,180.0,120.0,2430.0,200.0,160.0,120.0,180.0,1840.0,200.0,2430.0,310.0,2120.0,630.0,2020.0,180.0,120.0,10000.0,170.0,230.0,120.0,190.0
62462225,GRAND ISLAND 2225,6246.0,GRAND ISLAND,21kV,Available,12.0,67.0,Sacramento,1,1.0,0.0,1744.0,346.0,64.0,56.0,19.0,2229.0,01_00,2192.0,2765.0,53.3804342759222,188.166685707324,254.67595758701,115.065187327979,306.255961676691,481.880885593325,156.958069668443,514.355015565123,631.631471311583,471.215367454435,942.430734908869,1884.86146981774,758.502555893136,1517.00511178627,3034.01022357254,584.523489828779,1169.04697965756,2338.09395931512,1034.29649078866,2068.59298157732,4137.18596315465,699.588677156758,1475.30294133425,2819.97484490844,1191.2545604571,2582.94799714245,4768.81743446623,628.173437122878,1456.78575047399,2516.49294112932,740.0,50.0,9420.0,260.0,1950.0,390.0,1140.0,2760.0,50.0,9420.0,260.0,5880.0,450.0,3200.0,1110.0,280.0,10000.0,410.0,3720.0,890.0,1250.0
62462226,GRAND ISLAND 2226,6246.0,GRAND ISLAND,21kV,Available,12.0,67.0,Sacramento,1,1.0,0.0,3788.0,197.0,39.0,31.0,2.0,4057.0,01_00,3156.0,3532.0,98.5853489316493,347.514564454112,470.346831826773,212.507481373772,565.607066593554,889.958950205438,289.877110888945,949.933610920506,1166.5249606924,985.067112251662,1970.13422450332,3940.26844900664,1609.06015686508,3218.12031373016,6436.24062746031,1224.64120596459,2449.28241192919,4898.56482385837,2214.30789030402,4428.61578060804,8857.23156121608,1437.14868733836,3014.88947852274,5788.52377406381,2504.18500119297,5378.54939152855,10023.7565219085,1274.94422314061,2920.06783542383,5106.79340969904,1240.0,0.0,9370.0,0.0,1520.0,410.0,1350.0,1890.0,0.0,9370.0,0.0,5840.0,410.0,4160.0,1230.0,820.0,10000.0,1000.0,1750.0,1190.0,1540.0
62462227,GRAND ISLAND 2227,6246.0,GRAND ISLAND,21kV,Redacted,12.0,67.0,Sacramento,1,1.0,0.0,615.0,200.0,35.0,275.0,3.0,1128.0,01_00,,,154.519525426148,544.683222811876,737.206593344352,333.077435209438,886.514441089069,1394.893218158,454.344120012372,1488.89558475419,1828.37394478278,171.571831288197,343.143662576393,686.287325152787,272.880100147028,545.760200294055,1091.52040058811,212.447369463574,424.894738927148,849.789477854295,369.260882160463,738.521764320926,1477.04352864185,545.524804673012,1311.40918001622,2244.68269601229,823.605002172835,2227.41734907512,3305.41747342463,625.915951300569,1832.03924733059,2514.66126993556,310.0,50.0,10000.0,150.0,1680.0,140.0,460.0,1280.0,60.0,10000.0,180.0,2970.0,310.0,2300.0,320.0,50.0,10000.0,150.0,1640.0,220.0,930.0
62462223,GRAND ISLAND 2223,6246.0,GRAND ISLAND,21kV,Available,12.0,67.0,Sacramento,2,1.0,1.0,955.0,219.0,27.0,192.0,4.0,1397.0,01_01,1126.0,1494.0,3.32187961415234,11.7096663935481,15.8485573075342,7.16053934869997,19.0583956388924,29.9875846275042,9.76754533717769,32.0084589760163,39.3066061876048,256.918451152031,513.836902304061,1027.67380460812,403.691485000913,807.382970001827,1614.76594000365,308.68114957804,617.362299156081,1234.72459831216,550.753375745297,1101.50675149059,2203.01350298119,315.84168892674,636.420694794973,1264.71218293966,560.520921082475,1133.51521046661,2242.32010916879,266.685996489209,545.845361280077,1066.98041079573,400.0,20.0,9790.0,50.0,2820.0,260.0,990.0,1320.0,50.0,9790.0,140.0,4220.0,350.0,3180.0,560.0,20.0,10000.0,40.0,3150.0,270.0,1370.0
62462224,GRAND ISLAND 2224,6246.0,GRAND ISLAND,21kV,Available,12.0,67.0,Sacramento,2,1.0,1.0,415.0,125.0,32.0,35.0,4.0,611.0,01_01,1926.0,2299.0,6.31779606250626,22.270308628658,30.1419571399773,13.618442736427,36.2466648135309,57.0326038537262,18.5766393245166,60.8760519869626,74.7562075231621,113.281552413711,226.563104827421,453.126209654842,177.062504295686,354.125008591372,708.250017182743,136.045255704046,272.090511408093,544.181022816185,240.711983017337,481.423966034674,962.847932069348,149.663698440473,308.337176221623,601.213626669911,259.288622341854,542.300018021637,1037.60413959251,131.858191738227,287.439156814384,527.882417178004,200.0,140.0,2490.0,230.0,180.0,140.0,200.0,1790.0,200.0,2490.0,310.0,2170.0,630.0,2070.0,210.0,140.0,10000.0,190.0,260.0,150.0,210.0
62462225,GRAND ISLAND 2225,6246.0,GRAND ISLAND,21kV,Available,12.0,67.0,Sacramento,2,1.0,1.0,1744.0,346.0,64.0,56.0,19.0,2229.0,01_01,2116.0,2548.0,57.0930924369335,201.25385127272,272.388904009689,123.068076637072,327.556344689689,515.396143136675,167.874647365788,550.128878631207,675.562019433299,466.220509357741,932.44101871548,1864.88203743096,734.254196302715,1468.50839260543,2937.01678521086,560.26035099366,1120.52070198732,2241.04140397464,1003.28000322628,2006.56000645255,4013.12001290511,683.328427630731,1448.07704667701,2756.43754711131,1171.15465059206,2556.68888508376,4688.68203233841,634.095156723529,1482.56989734669,2540.44405686426,740.0,50.0,9620.0,260.0,1840.0,380.0,1090.0,2820.0,50.0,9620.0,260.0,6050.0,450.0,3200.0,1120.0,280.0,10000.0,460.0,3590.0,890.0,1120.0
62462226,GRAND ISLAND 2226,6246.0,GRAND ISLAND,21kV,Available,12.0,67.0,Sacramento,2,1.0,1.0,3788.0,197.0,39.0,31.0,2.0,4057.0,01_01,2914.0,3383.0,105.442050368194,371.684521137682,503.059885362716,227.287571606268,604.94555682622,951.856411425257,310.038329814402,1016.0023647993,1247.65784159633,982.22321905788,1964.44643811575,3928.89287623151,1564.39730515167,3128.79461030333,6257.58922060667,1181.46143413173,2362.92286826346,4725.84573652693,2153.50329696911,4307.00659393822,8614.01318787645,1408.749005738,2967.86842508968,5677.70214795218,2463.54162678351,5323.00895873753,9861.67102947278,1292.26154887228,2980.44880291506,5176.55071782784,1250.0,0.0,9560.0,0.0,1530.0,410.0,1370.0,1890.0,0.0,9550.0,0.0,6000.0,410.0,4240.0,1240.0,830.0,10000.0,960.0,1680.0,1190.0,1540.0
62462227,GRAND ISLAND 2227,6246.0,GRAND ISLAND,21kV,Redacted,12.0,67.0,Sacramento,2,1.0,1.0,615.0,200.0,35.0,275.0,3.0,1128.0,01_01,,,165.266500262628,582.56644095708,788.479988639276,356.243276580767,948.172334253606,1491.90932194021,485.944170629984,1592.44963942379,1955.53903102068,168.684630076235,337.369260152469,674.738520304938,263.203390094101,526.406780188203,1052.81356037641,202.552352889009,405.104705778018,810.209411556036,357.400171891238,714.800343782477,1429.60068756495,558.795629469776,1353.27704003162,2302.11873349624,843.344342521222,2307.24998320627,3385.13971858563,654.628800706219,1929.81889957626,2630.27755132562,190.0,50.0,10000.0,80.0,920.0,140.0,220.0,1290.0,60.0,10000.0,180.0,2970.0,310.0,2260.0,140.0,50.0,10000.0,80.0,1640.0,190.0,460.0
